"CMS Certification Number (CCN)",HHCAHPS Survey Summary Star Rating,HHCAHPS Survey Summary Star Rating Footnote,Star Rating for health team gave care in a professional way,Footnote for Star Rating for gave care in a professional way,Percent of patients who reported that their home health team gave care in a professional way,Footnote for Percent of patients who reported that their home health team gave care in a professional way,Star Rating for health team communicated well with them,Footnote for Star Rating for communicated well with them,Percent of patients who reported that their home health team communicated well with them,Footnote for Percent of patients who reported that their home health team communicated well with them,"Star Rating team discussed medicines, pain, and home safety","Footnote Star Rating discussed medicines, pain, home safety","Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them","Footnote for Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them",Star Rating for how patients rated overall care from agency,Footnote for Star Rating for overall care from agency,"Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Footnote for Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0(lowest) to 10(highest)","Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family","Footnote for Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family",Number of completed Surveys,Footnote for number of completed surveys,Response rate,Footnote for response rate,Footnote Number
037443,Not Available,9,Not Available,9,86,9,Not Available,9,89,9,Not Available,9,76,9,Not Available,9,90,9,64,9,10,9,28,9,9
037445,4,,3,,87,,5,,89,,5,,87,,4,,79,,72,,75,,37,,
037446,4,,4,,87,,3,,83,,3,,82,,4,,86,,77,,134,,43,,
037447,4,,5,,93,,5,,91,,2,,78,,5,,87,,83,,128,,34,,
037450,4,,4,,87,,5,,87,,4,,85,,4,,84,,79,,270,,31,,
037451,3,,3,,87,,3,,84,,4,,83,,3,,81,,77,,292,,32,,
037452,4,11,4,11,90,11,3,11,82,11,5,11,89,11,4,11,83,11,71,11,54,11,26,11,11
037453,Not Available,11,Not Available,11,93,11,Not Available,11,83,11,Not Available,11,93,11,Not Available,11,90,11,80,11,30,11,15,11,11
037454,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037455,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037456,5,,5,,95,,5,,93,,4,,86,,5,,94,,91,,318,,50,,
037457,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037458,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037459,Not Available,"10,11",Not Available,"10,11",94,"10,11",Not Available,"10,11",80,"10,11",Not Available,"10,11",82,"10,11",Not Available,"10,11",88,"10,11",78,"10,11",19,"10,11",15,"10,11","10,11"
037460,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037462,2,11,2,11,77,11,2,11,72,11,3,11,79,11,2,11,69,11,65,11,47,11,15,11,11
037463,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037464,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037466,Not Available,11,Not Available,11,84,11,Not Available,11,84,11,Not Available,11,87,11,Not Available,11,82,11,81,11,18,11,19,11,11
037468,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037469,3,11,4,11,88,11,1,11,74,11,2,11,72,11,3,11,79,11,69,11,59,11,23,11,11
037470,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037471,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037472,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037473,Not Available,11,Not Available,11,81,11,Not Available,11,76,11,Not Available,11,73,11,Not Available,11,74,11,74,11,38,11,26,11,11
037474,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037475,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037476,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037477,3,11,2,11,80,11,2,11,82,11,3,11,82,11,3,11,73,11,75,11,62,11,26,11,11
037478,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037479,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037480,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037481,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037482,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037484,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037485,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037486,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037487,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037488,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037489,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037490,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037491,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037492,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037493,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037494,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
037495,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
047001,4,,4,,89,,4,,89,,4,,83,,5,,86,,82,,284,,26,,
047004,5,,5,,92,,5,,87,,3,,81,,5,,91,,89,,118,,27,,
047006,4,,4,,89,,4,,88,,4,,86,,4,,84,,82,,351,,32,,
047008,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
047009,4,,4,,89,,4,,88,,4,,86,,4,,86,,80,,160,,29,,
047010,5,,5,,91,,5,,89,,5,,90,,5,,87,,86,,212,,26,,
047011,4,,5,,92,,4,,87,,2,,78,,5,,88,,85,,193,,39,,
047016,4,,4,,89,,5,,88,,4,,83,,4,,82,,84,,330,,35,,
047020,4,,4,,88,,4,,85,,3,,82,,4,,81,,81,,304,,28,,
047021,5,,5,,95,,5,,95,,4,,86,,5,,96,,88,,136,,27,,
047024,5,,5,,94,,5,,92,,5,,91,,5,,96,,94,,171,,42,,
047025,5,,5,,93,,5,,91,,5,,89,,5,,91,,87,,70,,30,,
047028,4,,4,,88,,4,,86,,5,,87,,4,,81,,75,,377,,23,,
047029,4,,4,,89,,3,,84,,4,,85,,4,,85,,77,,334,,29,,
047030,Not Available,11,Not Available,11,91,11,Not Available,11,88,11,Not Available,11,93,11,Not Available,11,91,11,91,11,23,11,52,11,11
047031,Not Available,11,Not Available,11,93,11,Not Available,11,91,11,Not Available,11,80,11,Not Available,11,89,11,74,11,22,11,39,11,11
047032,5,,5,,91,,5,,90,,5,,88,,5,,88,,86,,136,,38,,
047033,5,,5,,93,,5,,91,,5,,89,,5,,91,,88,,357,,26,,
047034,5,11,4,11,92,11,4,11,88,11,5,11,88,11,5,11,90,11,82,11,64,11,36,11,11
047035,5,,5,,91,,5,,90,,5,,88,,5,,89,,82,,254,,37,,
047038,4,,4,,90,,4,,87,,3,,82,,5,,87,,84,,333,,31,,
047043,4,,5,,91,,4,,88,,3,,82,,4,,84,,81,,234,,31,,
047044,5,,5,,93,,5,,94,,4,,84,,5,,89,,84,,82,,39,,
047046,5,,5,,93,,5,,90,,5,,94,,5,,91,,88,,180,,41,,
047048,5,,5,,94,,5,,90,,5,,93,,5,,92,,83,,88,,29,,
047052,4,,5,,91,,5,,91,,3,,81,,4,,85,,78,,89,,37,,
047056,5,,5,,91,,5,,92,,5,,93,,5,,91,,90,,137,,38,,
047057,5,,4,,89,,4,,86,,5,,88,,5,,87,,84,,311,,29,,
047070,4,,4,,89,,4,,85,,3,,80,,5,,86,,78,,263,,23,,
047080,5,,5,,92,,5,,90,,5,,88,,5,,89,,88,,322,,32,,
047081,5,,5,,94,,5,,92,,5,,91,,5,,92,,94,,86,,34,,
047082,4,,5,,91,,4,,86,,2,,76,,5,,91,,80,,171,,33,,
047083,5,,5,,93,,5,,92,,5,,91,,5,,88,,88,,169,,32,,
047087,5,,5,,91,,5,,90,,5,,87,,4,,86,,79,,141,,37,,
047088,5,11,5,11,94,11,5,11,92,11,5,11,92,11,5,11,88,11,86,11,65,11,40,11,11
047090,5,,4,,90,,5,,89,,5,,87,,5,,89,,84,,267,,21,,
047093,4,,4,,90,,5,,88,,4,,83,,4,,85,,80,,618,,29,,
047096,5,11,5,11,91,11,5,11,89,11,4,11,84,11,5,11,90,11,90,11,59,11,33,11,11
047097,5,,5,,93,,5,,89,,5,,88,,5,,89,,86,,162,,34,,
047099,4,,4,,91,,5,,88,,4,,86,,4,,85,,79,,212,,32,,
047102,5,,4,,90,,5,,89,,4,,84,,5,,87,,84,,246,,31,,
047104,4,11,4,11,88,11,5,11,91,11,5,11,87,11,3,11,81,11,80,11,55,11,20,11,11
047105,4,,4,,89,,4,,85,,4,,85,,4,,84,,80,,294,,31,,
047108,4,,4,,88,,5,,89,,3,,80,,4,,85,,84,,242,,31,,
047109,5,,5,,96,,5,,95,,5,,93,,5,,97,,95,,108,,39,,
047112,5,11,5,11,90,11,3,11,80,11,5,11,92,11,5,11,87,11,84,11,65,11,24,11,11
047114,Not Available,11,Not Available,11,93,11,Not Available,11,92,11,Not Available,11,96,11,Not Available,11,99,11,88,11,33,11,26,11,11
047115,5,,4,,90,,4,,89,,5,,89,,5,,90,,84,,547,,33,,
047116,4,11,4,11,89,11,4,11,87,11,3,11,82,11,5,11,85,11,85,11,66,11,32,11,11
047117,3,,2,,84,,4,,86,,4,,83,,3,,80,,68,,77,,18,,
047118,5,,5,,94,,5,,91,,4,,86,,5,,93,,89,,100,,28,,
047122,5,,4,,89,,4,,88,,5,,88,,5,,88,,81,,271,,28,,
047127,4,11,4,11,91,11,4,11,88,11,4,11,85,11,4,11,88,11,84,11,45,11,20,11,11
047128,5,,4,,90,,5,,89,,5,,90,,5,,86,,83,,360,,34,,
047133,5,,4,,89,,5,,89,,5,,87,,5,,88,,84,,271,,35,,
047134,4,,4,,90,,4,,87,,5,,87,,3,,84,,84,,240,,34,,
047135,5,,5,,91,,5,,89,,4,,84,,5,,92,,78,,79,,34,,
047138,5,,4,,90,,5,,89,,4,,86,,5,,88,,85,,648,,32,,
047139,4,,4,,90,,5,,89,,3,,82,,5,,87,,84,,152,,41,,
047140,4,,4,,87,,3,,83,,5,,88,,5,,90,,82,,148,,32,,
047145,5,,5,,90,,5,,88,,5,,88,,4,,83,,84,,319,,30,,
047147,2,11,2,11,78,11,2,11,78,11,2,11,74,11,2,11,77,11,62,11,51,11,26,11,11
047148,5,,5,,96,,5,,95,,5,,94,,5,,95,,91,,209,,37,,
047149,5,,5,,91,,5,,89,,3,,80,,5,,89,,89,,319,,36,,
047151,5,,4,,90,,5,,89,,5,,88,,5,,90,,82,,580,,29,,
047153,4,,3,,88,,5,,91,,3,,80,,5,,89,,83,,82,,33,,
047156,3,11,4,11,84,11,4,11,84,11,2,11,78,11,3,11,81,11,75,11,62,11,41,11,11
047157,Not Available,11,Not Available,11,92,11,Not Available,11,88,11,Not Available,11,95,11,Not Available,11,78,11,98,11,19,11,32,11,11
047158,Not Available,11,Not Available,11,85,11,Not Available,11,75,11,Not Available,11,80,11,Not Available,11,73,11,69,11,39,11,31,11,11
047162,Not Available,11,Not Available,11,97,11,Not Available,11,85,11,Not Available,11,89,11,Not Available,11,87,11,80,11,16,11,36,11,11
047167,5,,5,,93,,5,,95,,5,,91,,5,,91,,92,,142,,39,,
047168,5,,5,,92,,4,,89,,4,,84,,5,,91,,86,,140,,30,,
047169,5,,5,,92,,5,,91,,5,,89,,5,,91,,89,,165,,33,,
047170,5,,5,,94,,5,,91,,5,,88,,5,,92,,88,,198,,35,,
047172,5,,5,,90,,5,,88,,5,,88,,5,,94,,85,,137,,26,,
047173,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
047174,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
047175,5,,5,,93,,5,,91,,4,,85,,5,,94,,87,,144,,38,,
047176,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
047177,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
047178,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
047179,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
047180,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
047306,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
047326,5,,5,,94,,5,,90,,5,,89,,5,,94,,90,,84,,25,,
047338,4,,4,,90,,4,,85,,3,,82,,3,,79,,80,,105,,31,,
047339,5,,5,,91,,5,,90,,5,,89,,5,,86,,85,,401,,32,,
047346,5,,4,,89,,5,,88,,5,,87,,4,,85,,83,,432,,33,,
047803,5,,5,,92,,5,,91,,5,,90,,5,,90,,82,,110,,35,,
047818,4,,4,,89,,5,,90,,5,,89,,3,,81,,73,,101,,28,,
047823,5,,5,,92,,5,,90,,4,,86,,5,,89,,87,,166,,29,,
047824,4,,4,,87,,2,,80,,5,,90,,4,,83,,81,,82,,30,,
047838,4,11,4,11,92,11,5,11,88,11,5,11,90,11,3,11,82,11,84,11,47,11,24,11,11
047840,3,,3,,88,,2,,81,,4,,85,,3,,81,,74,,116,,27,,
047844,4,,4,,91,,4,,84,,3,,81,,4,,83,,82,,162,,27,,
047850,4,,4,,89,,5,,88,,2,,77,,4,,89,,81,,80,,27,,
047853,2,,2,,81,,2,,78,,3,,81,,2,,73,,71,,88,,23,,
047855,4,,4,,90,,4,,85,,3,,82,,4,,81,,73,,107,,32,,
047870,4,,4,,90,,3,,84,,4,,86,,3,,80,,81,,103,,27,,
047888,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
053100,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
053101,Not Available,11,Not Available,11,88,11,Not Available,11,78,11,Not Available,11,68,11,Not Available,11,76,11,59,11,18,11,20,11,11
053102,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
053103,Not Available,11,Not Available,11,93,11,Not Available,11,87,11,Not Available,11,93,11,Not Available,11,85,11,80,11,17,11,23,11,11
053104,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
053105,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
053106,Not Available,11,Not Available,11,85,11,Not Available,11,89,11,Not Available,11,83,11,Not Available,11,77,11,75,11,17,11,17,11,11
053107,5,11,5,11,93,11,5,11,94,11,5,11,93,11,5,11,96,11,91,11,47,11,14,11,11
053108,3,11,3,11,83,11,2,11,78,11,4,11,83,11,2,11,72,11,59,11,44,11,20,11,11
053109,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
053110,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
053111,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
053113,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
053114,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
053115,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
053116,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
053117,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
053118,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
053119,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
053120,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
053122,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
053123,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
053124,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
053125,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
053126,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
053127,Not Available,9,Not Available,9,91,9,Not Available,9,74,9,Not Available,9,71,9,Not Available,9,64,9,65,9,3,9,3,9,9
053128,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
053129,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
